testtype,totaljobs,total_runtime,avg_runtime,avg_greentime,%% green
reftest-e10s-1,75,306969,4092,4092,1.0
reftest-e10s-2,75,323214,4309,4309,0.986666666667
web-platform-tests-e10s-8,75,131601,1754,1752,0.96
web-platform-tests-8,75,102649,1368,1369,0.986666666667
web-platform-tests-5,75,244035,3253,3253,1.0
web-platform-tests-4,75,93350,1244,1244,1.0
web-platform-tests-7,75,47925,639,639,1.0
web-platform-tests-e10s-7,75,58925,785,785,1.0
web-platform-tests-1,75,144502,1926,1926,1.0
web-platform-tests-e10s-1,75,207956,2772,2772,1.0
web-platform-tests-e10s-2,76,289623,3810,3810,1.0
web-platform-tests-2,75,253304,3377,3377,1.0
mochitest-browser-chrome-5,75,181178,2415,2420,0.986666666667
mochitest-browser-chrome-4,75,182455,2432,2386,0.8
mochitest-browser-chrome-7,75,174022,2320,2342,0.92
mochitest-browser-chrome-6,75,181031,2413,2422,0.973333333333
mochitest-browser-chrome-1,75,186917,2492,2492,1.0
reftest-3,75,217038,2893,2893,1.0
cppunit,75,114806,1530,1530,1.0
mochitest-browser-chrome-2,75,182762,2436,2438,0.986666666667
mochitest-e10s-5,75,252584,3367,3367,1.0
reftest-2,75,219048,2920,2920,0.986666666667
crashtest,75,134875,1798,1798,0.96
mochitest-e10s-browser-chrome-5,75,137912,1838,1836,0.986666666667
web-platform-tests-6,75,140511,1873,1873,1.0
mochitest-e10s-browser-chrome-6,75,137885,1838,1837,0.986666666667
mochitest-e10s-7,75,212371,2831,2831,1.0
jsreftest,75,291089,3881,3881,1.0
mochitest-e10s-browser-chrome-4,75,142680,1902,1930,0.88
mochitest-e10s-4,75,286074,3814,3794,0.866666666667
gtest,75,41246,549,553,0.986666666667
mochitest-e10s-6,75,111049,1480,1473,0.973333333333
mochitest-e10s-1,75,174014,2320,2318,0.986666666667
mochitest-browser-chrome-3,75,183421,2445,2445,1.0
mochitest-e10s-browser-chrome-2,75,144384,1925,1925,1.0
web-platform-tests-e10s-5,75,298237,3976,3976,1.0
mochitest-e10s-8,75,117211,1562,1559,0.986666666667
mochitest-e10s-browser-chrome-1,75,132747,1769,1773,0.986666666667
mochitest-devtools-chrome-4,75,207440,2765,2765,1.0
